INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
300354793,01/31/2025,16:31:00,BRONX,OUTSIDE,44,0,OTHER,GROCERY/BODEGA,N,25-44,M,BLACK,45-64,M,BLACK,1005142,246042,40.841989,-73.924494,POINT (-73.924494 40.841989)
299470064,01/15/2025,01:00:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,45-64,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1003614,255446,40.86779354261407,-73.92998844410148,POINT (-73.92998844410148 40.86779354261407)
300197279,01/28/2025,15:30:00,BROOKLYN,INSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),<18,M,BLACK,1004499,180655,40.662519,-73.927012,POINT (-73.927012 40.662519)
299382241,01/13/2025,21:15:00,MANHATTAN,OUTSIDE,30,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK HISPANIC,997512,239558,40.824207,-73.95208,POINT (-73.95208 40.824207)
303241626,03/17/2025,15:31:00,MANHATTAN,OUTSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,999998,226211,40.787568,-73.943131,POINT (-73.943131 40.787568)
301529587,02/22/2025,00:38:00,BRONX,INSIDE,45,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,F,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1032397,238442,40.821023,-73.826044,POINT (-73.826044 40.821023)
298756513,01/01/2025,00:16:00,BROOKLYN,INSIDE,88,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,990117,192144,40.694076,-73.978842,POINT (-73.978842 40.694076)
303241625,03/19/2025,17:50:00,BROOKLYN,OUTSIDE,84,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,987098,194573,40.700734208726445,-73.98972871152452,POINT (-73.98972871152452 40.700734208726445)
300131386,01/27/2025,23:15:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1001768,234797,40.811131,-73.936716,POINT (-73.936716 40.811131)
298756517,01/01/2025,05:15:00,BRONX,OUTSIDE,44,0,STREET,(null),N,45-64,M,BLACK,18-24,M,BLACK,1009255,244278,40.8371265397571,-73.90963478047829,POINT (-73.90963478047829 40.8371265397571)
298756519,01/01/2025,23:18:00,QUEENS,OUTSIDE,103,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),18-24,F,BLACK,1036944,194475,40.700318,-73.809959,POINT (-73.809959 40.700318)
299648921,01/17/2025,09:54:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,BLACK,1004934,235728,40.81368,-73.925276,POINT (-73.925276 40.81368)
